Red,Green,Blue,Color
208,49,45,Rojo
153,15,2,Rojo
227,36,43,Rojo
96,16,11,Rojo
84,30,27,Rojo
97,12,4,Rojo
185,14,10,Rojo
144,6,3,Rojo
144,13,9,Rojo
78,7,7,Rojo
126,40,17,Rojo
169,27,13,Rojo
66,12,9,Rojo
113,12,4,Rojo
94,25,22,Rojo
122,23,18,Rojo
104,12,7,Rojo
188,84,75,Rojo
210,20,4,Rojo
155,16,3,Rojo
150,0,24,Rojo
202,52,51,Rojo
126,25,27,Rojo
237,41,57,Rojo
205,92,92,Rojo
194,24,7,Rojo
128,0,0,Rojo
178,34,34,Rojo
234,60,83,Rojo
210,31,60,Rojo
255,8,0,Rojo
180,55,87,Rojo
191,10,48,Rojo
255,40,0,Rojo
141,2,31,Rojo
139,0,0,Rojo
208,61,51,Rojo
170,0,0,Rojo
189,32,49,Rojo
210,18,46,Rojo
158,27,50,Rojo
227,38,54,Rojo
244,54,76,Rojo
255,3,62,Rojo
186,0,33,Rojo
219,0,7,Rojo
165,42,42,Rojo
204,0,0,Rojo
198,12,48,Rojo
191,79,81,Rojo
237,112,20,Naranja
250,129,40,Naranja
252,174,30,Naranja
181,103,39,Naranja
141,64,4,Naranja
190,85,4,Naranja
252,106,3,Naranja
221,87,28,Naranja
178,86,13,Naranja
253,161,114,Naranja
237,130,14,Naranja
128,64,11,Naranja
236,151,6,Naranja
237,113,23,Naranja
201,91,12,Naranja
122,56,3,Naranja
209,96,2,Naranja
137,49,1,Naranja
214,114,41,Naranja
204,88,1,Naranja
252,76,2,Naranja
227,74,39,Naranja
230,128,0,Naranja
255,140,0,Naranja
255,94,14,Naranja
255,69,0,Naranja
226,99,16,Naranja
245,118,26,Naranja
253,103,58,Naranja
255,79,0,Naranja
240,97,5,Naranja
255,143,0,Naranja
255,165,44,Naranja
195,82,20,Naranja
238,89,33,Naranja
232,150,17,Naranja
207,91,46,Naranja
254,186,79,Naranja
242,110,1,Naranja
255,153,68,Naranja
255,127,80,Naranja
215,83,65,Naranja
230,129,47,Naranja
250,186,95,Naranja
251,136,66,Naranja
255,159,0,Naranja
236,118,37,Naranja
236,88,0,Naranja
255,60,0,Naranja
204,85,0,Naranja
230,219,172,Amarillo
238,220,154,Amarillo
249,224,118,Amarillo
201,187,142,Amarillo
214,184,90,Amarillo
223,201,138,Amarillo
250,226,156,Amarillo
200,169,81,Amarillo
243,234,175,Amarillo
216,184,99,Amarillo
227,183,120,Amarillo
231,194,125,Amarillo
220,215,160,Amarillo
227,197,101,Amarillo
253,233,146,Amarillo
189,165,93,Amarillo
218,193,124,Amarillo
253,239,178,Amarillo
237,232,186,Amarillo
251,231,144,Amarillo
228,208,10,Amarillo
238,220,130,Amarillo
238,237,9,Amarillo
255,253,55,Amarillo
255,239,0,Amarillo
253,255,0,Amarillo
238,232,170,Amarillo
240,230,140,Amarillo
252,232,131,Amarillo
250,218,94,Amarillo
255,215,0,Amarillo
238,210,2,Amarillo
248,228,115,Amarillo
255,253,1,Amarillo
238,234,98,Amarillo
255,218,3,Amarillo
252,226,5,Amarillo
255,253,116,Amarillo
255,227,110,Amarillo
255,225,53,Amarillo
252,209,42,Amarillo
196,145,2,Amarillo
254,220,86,Amarillo
250,250,55,Amarillo
248,222,126,Amarillo
255,255,102,Amarillo
204,160,29,Amarillo
253,238,0,Amarillo
255,255,51,Amarillo
255,254,113,Amarillo
60,176,67,Verde
176,252,56,Verde
58,83,17,Verde
114,140,105,Verde
174,243,89,Verde
93,187,99,Verde
152,191,100,Verde
2,138,15,Verde
116,183,46,Verde
70,109,29,Verde
3,172,19,Verde
61,237,151,Verde
35,79,30,Verde
3,192,74,Verde
153,237,195,Verde
53,74,33,Verde
89,125,53,Verde
178,211,194,Verde
50,97,45,Verde
96,125,59,Verde
59,122,87,Verde
86,130,3,Verde
172,225,175,Verde
11,102,35,Verde
63,112,77,Verde
143,151,121,Verde
41,171,135,Verde
0,117,94,Verde
0,166,147,Verde
46,139,87,Verde
0,168,107,Verde
169,186,157,Verde
75,83,32,Verde
76,187,23,Verde
80,200,120,Verde
0,102,0,Verde
0,240,168,Verde
72,168,96,Verde
168,192,144,Verde
116,195,101,Verde
0,120,72,Verde
96,144,120,Verde
108,124,89,Verde
72,120,0,Verde
0,86,59,Verde
0,106,78,Verde
0,107,60,Verde
120,134,107,Verde
133,187,101,Verde
178,236,93,Verde
57,68,188,Azul
117,124,136,Azul
99,197,218,Azul
10,17,114,Azul
40,30,93,Azul
19,56,190,Azul
72,170,173,Azul
1,96,100,Azul
2,45,54,Azul
21,32,166,Azul
4,146,194,Azul
40,50,194,Azul
44,62,76,Azul
89,120,142,Azul
31,69,110,Azul
36,21,113,Azul
21,30,61,Azul
5,16,148,Azul
82,178,191,Azul
130,238,253,Azul
64,224,208,Azul
70,130,180,Azul
46,88,148,Azul
176,224,230,Azul
0,79,152,Azul
137,207,240,Azul
188,212,230,Azul
108,160,220,Azul
129,216,208,Azul
75,156,211,Azul
79,151,163,Azul
115,194,251,Azul
100,149,237,Azul
18,97,128,Azul
16,52,166,Azul
0,53,107,Azul
29,41,81,Azul
0,90,146,Azul
118,171,223,Azul
114,160,193,Azul
107,202,226,Azul
108,180,238,Azul
0,45,98,Azul
0,102,178,Azul
79,134,247,Azul
80,114,167,Azul
49,140,231,Azul
102,153,204,Azul
0,57,166,Azul
19,39,79,Azul
163,44,196,Violeta
122,73,136,Violeta
113,1,147,Violeta
99,4,54,Violeta
227,159,246,Violeta
96,26,53,Violeta
161,4,90,Violeta
182,95,207,Violeta
102,48,70,Violeta
190,147,212,Violeta
77,15,40,Violeta
49,20,50,Violeta
103,3,47,Violeta
152,103,197,Violeta
158,123,181,Violeta
164,94,229,Violeta
41,9,22,Violeta
175,105,239,Violeta
76,1,33,Violeta
44,4,28,Violeta
216,191,216,Violeta
218,112,214,Violeta
143,0,255,Violeta
147,112,219,Violeta
153,50,204,Violeta
139,0,139,Violeta
160,32,240,Violeta
223,115,255,Violeta
154,78,174,Violeta
78,42,132,Violeta
81,40,136,Violeta
134,96,142,Violeta
136,0,133,Violeta
108,48,130,Violeta
120,24,74,Violeta
114,36,108,Violeta
