Red,Green,Blue,Color
208,49,45,Rojo
153,15,2,Rojo
227,36,43,Rojo
96,16,11,Rojo
84,30,27,Rojo
97,12,4,Rojo
185,14,10,Rojo
144,6,3,Rojo
144,13,9,Rojo
78,7,7,Rojo
126,40,17,Rojo
169,27,13,Rojo
66,12,9,Rojo
113,12,4,Rojo
94,25,22,Rojo
122,23,18,Rojo
104,12,7,Rojo
188,84,75,Rojo
210,20,4,Rojo
155,16,3,Rojo
150,0,24,Rojo
202,52,51,Rojo
126,25,27,Rojo
237,41,57,Rojo
205,92,92,Rojo
194,24,7,Rojo
128,0,0,Rojo
178,34,34,Rojo
234,60,83,Rojo
210,31,60,Rojo
255,8,0,Rojo
180,55,87,Rojo
191,10,48,Rojo
255,40,0,Rojo
141,2,31,Rojo
139,0,0,Rojo
208,61,51,Rojo
170,0,0,Rojo
189,32,49,Rojo
210,18,46,Rojo
158,27,50,Rojo
227,38,54,Rojo
244,54,76,Rojo
255,3,62,Rojo
186,0,33,Rojo
219,0,7,Rojo
165,42,42,Rojo
204,0,0,Rojo
198,12,48,Rojo
191,79,81,Rojo
237,112,20,Naranja
250,129,40,Naranja
252,174,30,Naranja
181,103,39,Naranja
141,64,4,Naranja
190,85,4,Naranja
252,106,3,Naranja
221,87,28,Naranja
178,86,13,Naranja
253,161,114,Naranja
237,130,14,Naranja
128,64,11,Naranja
236,151,6,Naranja
237,113,23,Naranja
201,91,12,Naranja
122,56,3,Naranja
209,96,2,Naranja
137,49,1,Naranja
214,114,41,Naranja
204,88,1,Naranja
252,76,2,Naranja
227,74,39,Naranja
230,128,0,Naranja
255,140,0,Naranja
255,94,14,Naranja
255,69,0,Naranja
226,99,16,Naranja
245,118,26,Naranja
253,103,58,Naranja
255,79,0,Naranja
240,97,5,Naranja
255,143,0,Naranja
255,165,44,Naranja
195,82,20,Naranja
238,89,33,Naranja
232,150,17,Naranja
207,91,46,Naranja
254,186,79,Naranja
242,110,1,Naranja
255,153,68,Naranja
255,127,80,Naranja
215,83,65,Naranja
230,129,47,Naranja
250,186,95,Naranja
251,136,66,Naranja
255,159,0,Naranja
236,118,37,Naranja
236,88,0,Naranja
255,60,0,Naranja
204,85,0,Naranja
230,219,172,Amarillo
238,220,154,Amarillo
249,224,118,Amarillo
201,187,142,Amarillo
214,184,90,Amarillo
223,201,138,Amarillo
250,226,156,Amarillo
200,169,81,Amarillo
243,234,175,Amarillo
216,184,99,Amarillo
227,183,120,Amarillo
231,194,125,Amarillo
220,215,160,Amarillo
227,197,101,Amarillo
253,233,146,Amarillo
189,165,93,Amarillo
218,193,124,Amarillo
253,239,178,Amarillo
237,232,186,Amarillo
251,231,144,Amarillo
228,208,10,Amarillo
238,220,130,Amarillo
238,237,9,Amarillo
255,253,55,Amarillo
255,239,0,Amarillo
253,255,0,Amarillo
238,232,170,Amarillo
240,230,140,Amarillo
252,232,131,Amarillo
250,218,94,Amarillo
255,215,0,Amarillo
238,210,2,Amarillo
248,228,115,Amarillo
255,253,1,Amarillo
238,234,98,Amarillo
255,218,3,Amarillo
252,226,5,Amarillo
255,253,116,Amarillo
255,227,110,Amarillo
255,225,53,Amarillo
252,209,42,Amarillo
196,145,2,Amarillo
254,220,86,Amarillo
250,250,55,Amarillo
248,222,126,Amarillo
255,255,102,Amarillo
204,160,29,Amarillo
253,238,0,Amarillo
255,255,51,Amarillo
255,254,113,Amarillo
57,68,188,Azul
117,124,136,Azul
99,197,218,Azul
10,17,114,Azul
40,30,93,Azul
19,56,190,Azul
72,170,173,Azul
1,96,100,Azul
2,45,54,Azul
21,32,166,Azul
4,146,194,Azul
40,50,194,Azul
44,62,76,Azul
89,120,142,Azul
31,69,110,Azul
36,21,113,Azul
21,30,61,Azul
5,16,148,Azul
82,178,191,Azul
130,238,253,Azul
64,224,208,Azul
70,130,180,Azul
46,88,148,Azul
176,224,230,Azul
0,79,152,Azul
137,207,240,Azul
188,212,230,Azul
108,160,220,Azul
129,216,208,Azul
75,156,211,Azul
79,151,163,Azul
115,194,251,Azul
100,149,237,Azul
18,97,128,Azul
16,52,166,Azul
0,53,107,Azul
29,41,81,Azul
0,90,146,Azul
118,171,223,Azul
114,160,193,Azul
107,202,226,Azul
108,180,238,Azul
0,45,98,Azul
0,102,178,Azul
79,134,247,Azul
80,114,167,Azul
49,140,231,Azul
102,153,204,Azul
0,57,166,Azul
19,39,79,Azul
0,0,0,Negro
8,4,2,Negro
13,9,7,Negro
40,35,29,Negro
4,4,6,Negro
7,5,4,Negro
5,3,1,Negro
5,1,0,Negro
10,8,6,Negro
3,1,4,Negro
3,0,1,Negro
22,13,8,Negro
6,6,6,Negro
3,3,3,Negro
12,9,8,Negro
14,12,10,Negro
2,4,3,Negro
0,3,2,Negro
4,2,0,Negro
11,7,5,Negro
12,4,4,Negro
26,17,16,Negro
12,9,10,Negro
35,43,43,Negro
26,36,33,Negro
27,27,27,Negro
36,33,36,Negro
16,12,8,Negro
1,1,39,Negro
11,11,11,Negro
25,28,39,Negro
15,4,4,Negro
21,25,34,Negro
25,28,32,Negro
14,12,1,Negro
16,14,9,Negro
11,5,16,Negro
26,34,40,Negro
27,24,17,Negro
18,3,33,Negro
26,26,26,Negro
28,28,28,Negro
26,15,15,Negro
22,19,17,Negro
13,14,14,Negro
22,22,22,Negro
1,2,3,Negro
7,0,11,Negro
31,32,31,Negro
5,2,3,Negro
255,255,255,Blanco
251,252,248,Blanco
254,249,243,Blanco
245,254,253,Blanco
253,246,228,Blanco
255,250,218,Blanco
255,249,227,Blanco
251,251,249,Blanco
251,250,242,Blanco
248,238,236,Blanco
248,242,237,Blanco
255,241,230,Blanco
243,234,211,Blanco
231,222,204,Blanco
250,250,250,Blanco
251,252,250,Blanco
236,251,252,Blanco
255,254,252,Blanco
251,245,223,Blanco
250,245,239,Blanco
255,245,238,Blanco
241,249,236,Blanco
253,255,245,Blanco
248,248,255,Blanco
245,245,245,Blanco
254,254,250,Blanco
255,255,240,Blanco
255,250,240,Blanco
236,243,249,Blanco
255,250,250,Blanco
253,252,250,Blanco
248,251,248,Blanco
255,252,236,Blanco
246,241,244,Blanco
235,245,240,Blanco
246,244,241,Blanco
